number,timetaken
1,531
101,63981
201,326514
301,575774
401,1053412
501,1572728
601,2216890
701,3067871
801,4013731
901,5089834
1001,6551945
1101,7721164
1201,9286048
1301,10996636
1401,12721600
1501,14425817
1601,16788892
1701,18951460
1801,21546191
1901,23379179
2001,26821034
2101,27544304
2201,31601706
2301,33165097
2401,36097182
2501,39298394
2601,42457287
2701,45992186
2801,49408502
2901,53274746
3001,57988302
3101,62847152
3201,69109372
3301,73325242
3401,81286107
3501,99395571
3601,87880982
3701,90583796
3801,93766623
3901,98902174
4001,105292915
4101,108537979
4201,119689957
4301,124335736
4401,131111470
4501,139504207
4601,145238543
4701,148386335
4801,158511460
4901,157048209
5001,172071238
5101,169852110
5201,183846675
5301,189562747
5401,193962382
5501,198723309
5601,202906154
5701,211648307
5801,220414717
5901,227297774
6001,241295924
6101,248705157
6201,254052796
6301,259192754
6401,289143941
6501,297840215
6601,294021733
6701,300849746
6801,315466063
6901,328658568
7001,336309399
7101,338410645
7201,357072196
7301,361362666
7401,374745902
7501,377436794
7601,389718051
7701,402052377
7801,406584351
7901,412693815
8001,424527482
8101,435502410
8201,444834039
8301,454257731
8401,466981837
8501,478026078
8601,489956941
8701,503576014
8801,515014421
8901,525110366
9001,537788464
9101,547730039
9201,560669739
9301,573613146
9401,590522425
9501,599368231
9601,615410859
9701,625421678
9801,637322273
9901,651535308
