number,timetaken
1,341
101,25858
201,120126
301,218321
401,368583
501,595610
601,832746
701,1076244
801,1472609
901,1923628
1001,2386168
1101,2726458
1201,3385648
1301,3999713
1401,4618767
1501,5227651
1601,5826468
1701,6685083
1801,7473926
1901,7979277
2001,9296664
2101,9988866
2201,11200295
2301,12048259
2401,13252544
2501,14117921
2601,15340821
2701,16552951
2801,17704016
2901,19021173
3001,20284438
3101,21758251
3201,23261678
3301,24934965
3401,25784503
3501,27692731
3601,29631548
3701,31491506
3801,33089441
3901,34568543
4001,36585075
4101,38599855
4201,40025505
4301,41772320
4401,44026701
4501,46133002
4601,47932456
4701,50862326
4801,53296895
4901,54427782
5001,57157124
5101,59699526
5201,61428247
5301,64307311
5401,66850855
5501,69165137
5601,72118752
5701,75628352
5801,77649323
5901,80705761
6001,82388646
6101,84703189
6201,87039502
6301,89003626
6401,93716569
6501,95347716
6601,98148784
6701,101121985
6801,103464060
6901,108483240
7001,111220428
7101,115059538
7201,117364723
7301,121523703
7401,123481163
7501,126470866
7601,133117416
7701,134232643
7801,137786697
7901,141866389
8001,145901537
8101,150144344
8201,152038427
8301,155553056
8401,161017042
8501,162975094
8601,169755987
8701,171784388
8801,176859542
8901,180733698
9001,185488700
9101,186926454
9201,191881801
9301,196199099
9401,200603682
9501,202192430
9601,208615148
9701,214361763
9801,216343988
9901,216917768
