number,timetaken
1000,3228441
1100,3844847
1200,4536643
1300,5395579
1400,6434541
1500,7093155
1600,8054132
1700,9089436
1800,10194731
1900,11333988
2000,12599791
2100,13801615
2200,15162625
2300,16553610
2400,18024424
2500,19555149
2600,21132943
2700,22908793
2800,24543432
2900,26356332
3000,28117946
3100,30014802
3200,31996326
3300,33984922
3400,36248330
3500,38265769
3600,40441994
3700,42719718
3800,45063114
3900,47556109
4000,49912549
4100,52421493
4200,54971773
4300,57633500
4400,60339130
4500,63091296
4600,66224029
4700,69107980
4800,72361407
4900,74964026
5000,77930008
5100,81556259
5200,85146573
5300,87457919
5400,90865283
5500,94323982
5600,97671374
5700,101112671
5800,104747678
5900,108328814
6000,112133076
6100,115863390
6200,119715410
6300,123446125
6400,127434869
6500,131373029
6600,135499490
6700,139645888
6800,143904815
6900,148184038
7000,152495563
7100,156800105
7200,161270053
7300,165783954
7400,170328521
7500,175049737
7600,179637746
7700,184367387
7800,189196323
7900,194185367
8000,199134517
8100,204018104
8200,209015825
8300,214255234
8400,219474035
8500,224759059
8600,229903281
8700,236924091
8800,240777814
8900,246372023
9000,251857350
9100,257684912
9200,263247112
9300,268870203
9400,274689511
9500,280483581
9600,286454710
9700,292496111
9800,298563027
9900,304679697
10000,310814361
