number,timetaken
48100,5288898
48200,4571228
48300,4563984
48400,4634180
48500,4629622
48600,4622829
48700,4648289
48800,4680091
48900,4835674
49000,4720308
49100,4629512
49200,4677045
49300,4683066
49400,4688386
49500,4717694
49600,4732102
49700,4722773
49800,4825423
49900,4811196
50000,4791618
50100,4836635
50200,4739035
50300,4869369
50400,4976669
50500,4806236
50600,4986197
50700,4858679
50800,4862756
50900,4867226
51000,5000154
51100,4891874
51200,4914718
51300,4906642
51400,5096312
51500,4900170
51600,4955898
51700,4957161
51800,5034382
51900,4973132
52000,5001397
52100,4971098
52200,5101462
52300,5152311
52400,5025694
52500,5057286
52600,5017939
52700,5060472
52800,5054711
52900,5091452
53000,5260813
53100,5082655
53200,5056634
53300,5109488
53400,5098887
53500,5160718
53600,5153003
53700,5205015
53800,5233099
53900,5189835
54000,5186458
54100,5195405
54200,5238399
54300,5185586
54400,5210875
54500,5237929
54600,5265342
54700,5251655
54800,5283267
54900,5289359
55000,5317955
55100,5303647
55200,5262277
55300,5362201
55400,5293587
55500,5328315
55600,5328365
55700,5346831
55800,5343696
55900,5363764
56000,5410375
56100,5339928
56200,5347512
56300,5344987
56400,5375637
56500,5355538
56600,5377140
56700,5542533
56800,5453499
56900,5415616
57000,5418921
57100,5413471
57200,5498707
57300,5439643
57400,5429101
57500,6262466
57600,5435914
57700,5521601
57800,5447176
57900,5560838
58000,5563092
58100,5537873
58200,5491833
58300,5534186
58400,5580166
58500,5580968
58600,5567180
58700,5618951
58800,5573673
58900,5610114
59000,5595385
59100,5612027
59200,5613290
59300,5636756
59400,5701091
59500,5650713
59600,5671212
59700,5696072
59800,5651715
59900,5730829
60000,5721100
60100,5654701
60200,5676413
60300,5732222
60400,5734056
60500,5737683
60600,5824592
60700,5793922
60800,5799954
60900,5805626
61000,5827849
61100,5790436
61200,5788421
61300,5841685
61400,5843629
61500,5799293
61600,5876153
61700,5880532
61800,5875000
61900,5918886
62000,5901132
62100,6004984
62200,5962491
62300,5951519
62400,5963924
62500,5975616
62600,6007399
62700,5977219
62800,6001948
62900,6072445
63000,6092935
63100,6045353
63200,6067266
63300,6080371
63400,6119418
63500,6119628
63600,6097975
63700,6103185
63800,6111552
63900,6126000
64000,6125048
64100,6134656
64200,6169816
64300,6198862
64400,6203692
64500,6209353
64600,6188242
64700,6214482
64800,6244011
64900,6238049
65000,6218601
65100,6257006
65200,6250002
65300,6278457
65400,6304428
65500,6281574
65600,6380647
65700,6382451
65800,6362502
65900,6342813
66000,6391037
66100,6381829
66200,6409995
66300,6440033
66400,6395135
66500,6424763
66600,6464641
66700,6463689
66800,6477736
66900,6455633
67000,6505030
67100,6534266
67200,6568674
67300,6523054
67400,6549376
67500,6553334
67600,6561289
67700,6627278
67800,6609944
67900,6586899
68000,6652938
68100,6656034
68200,6658970
68300,6712074
68400,6763895
68500,6736732
68600,6716823
68700,6748094
68800,6715951
68900,6712996
69000,6862487
69100,6784955
69200,6764747
69300,6779535
69400,6792010
69500,6847618
69600,6828530
69700,6863539
69800,6846887
69900,6851876
70000,6865182
70100,6908767
70200,6897986
70300,6880752
70400,6918254
70500,6944806
70600,6938334
70700,6996508
70800,7008431
70900,6961819
71000,6970667
71100,6969214
71200,6996508
71300,7013140
71400,7040613
71500,6981879
71600,7078146
71700,7032507
71800,7020163
71900,7030414
72000,7014973
72100,7074981
72200,7055352
72300,7077806
72400,7111531
72500,7109097
72600,7071072
72700,7100720
72800,7101743
72900,7106702
73000,7217758
73100,7155437
73200,7176117
73300,7157572
73400,7197709
73500,7136721
73600,7198642
73700,7182720
73800,7233840
73900,7209513
74000,7234722
74100,7197539
74200,7270912
74300,7268959
74400,7239722
74500,7241044
74600,7307494
74700,7311702
74800,7293176
74900,7369384
75000,7348925
75100,7336421
75200,7362481
75300,7432798
75400,7357972
75500,7387951
75600,7461675
75700,7430724
75800,7429151
75900,7475331
76000,7457347
76100,7932173
76200,7502234
76300,7668117
76400,7477486
76500,7464961
76600,7515159
76700,7514107
76800,7530749
76900,7564826
77000,7527493
77100,7574194
77200,7596878
77300,7563653
77400,7955087
77500,7635363
77600,7645242
77700,7667055
77800,7655583
77900,7673938
78000,7651866
78100,7723004
78200,7721791
78300,7839722
78400,7679159
78500,7736611
78600,7737202
78700,7806968
78800,7786398
78900,7844291
79000,7838860
79100,7791698
79200,7856114
79300,7863789
79400,7878638
79500,7820835
79600,7879430
79700,7841355
79800,7919507
79900,7957382
80000,7921992
80100,7980657
80200,7983452
80300,8000736
80400,8010615
80500,7952913
80600,8017258
80700,7965808
80800,8005806
80900,8028609
81000,8048999
81100,8026585
81200,8052476
81300,8039079
81400,8103916
81500,8071312
81600,8048528
81700,8078707
81800,8098546
81900,8079829
82000,8152000
82100,8114256
82200,8243338
82300,8213800
82400,8111491
82500,8152922
82600,8201507
82700,8209061
82800,8226716
82900,8205945
83000,8280501
83100,8226836
83200,8289729
83300,8277464
83400,8223399
83500,8333203
83600,8295800
83700,8291381
83800,8333594
83900,8254710
84000,8345728
84100,8291933
84200,8345187
84300,8406225
84400,8412458
84500,8423089
84600,8429862
84700,8393861
84800,8400214
84900,8417799
85000,8461464
85100,8487364
85200,8446574
85300,8436475
85400,8445422
85500,8438168
85600,8490630
85700,8500049
85800,8567801
85900,8540939
86000,8554374
86100,8537632
86200,8555026
